日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-03,300750,196.28,194.97,196.59,190.57,104820,4056787273.0,3.05,-1.07,-2.1,0.53
2023-01-04,300750,193.22,191.84,193.5,190.75,196023,7527791631.0,1.41,-1.61,-3.13,0.94
2023-01-05,300750,194.06,204.89,206.37,192.39,260433,10371713857.0,7.29,6.8,13.05,1.24
2023-01-06,300750,204.06,209.98,214.6,202.98,183925,7641585134.0,5.67,2.48,5.09,0.88
2023-01-09,300750,213.43,209.94,213.43,208.5,128403,5373244035.0,2.35,-0.02,-0.04,0.61
2023-01-10,300750,210.53,218.5,220.17,208.11,182607,7781973489.0,5.74,4.08,8.56,0.87
2023-01-11,300750,217.67,216.2,220.72,214.06,122418,5252326720.0,3.05,-1.05,-2.3,0.59
2023-01-12,300750,218.5,219.33,222.27,217.21,111368,4837460192.0,2.34,1.45,3.13,0.53
2023-01-13,300750,225.17,222.67,229.9,217.39,207575,9140635813.0,5.7,1.52,3.34,0.99
2023-01-16,300750,222.11,226.63,228.22,220.23,168091,7451169294.0,3.59,1.78,3.96,0.8
2023-01-17,300750,226.79,226.06,229.54,224.95,98958,4416180657.0,2.03,-0.25,-0.57,0.47
2023-01-18,300750,227.67,227.67,228.99,224.67,73443,3292955688.0,1.91,0.71,1.61,0.35
2023-01-19,300750,225.91,226.71,229.33,224.16,73100,3254123919.0,2.27,-0.42,-0.96,0.35
2023-01-20,300750,226.71,229.61,229.72,225.31,107657,4841543970.0,1.95,1.28,2.9,0.51
2023-01-30,300750,244.82,239.97,251.03,238.21,211743,10102385367.0,5.58,4.51,10.36,1.01
2023-01-31,300750,239.54,236.94,243.78,235.41,139540,6565989151.0,3.49,-1.26,-3.03,0.67
2023-02-01,300750,240.16,243.39,244.81,239.88,115022,5464594493.0,2.08,2.72,6.45,0.55
2023-02-02,300750,244.54,237.44,245.0,236.77,134557,6339908128.0,3.38,-2.44,-5.95,0.64
2023-02-03,300750,236.28,231.94,237.5,229.27,120200,5495174744.0,3.47,-2.32,-5.5,0.57
2023-02-06,300750,229.61,228.83,230.46,223.55,107529,4811799061.0,2.98,-1.34,-3.11,0.51
2023-02-07,300750,228.77,227.44,230.61,225.53,72112,3231274189.0,2.22,-0.61,-1.39,0.34
2023-02-08,300750,228.28,226.95,230.42,225.72,73299,3293742443.0,2.07,-0.22,-0.49,0.35
2023-02-09,300750,226.95,230.16,231.83,223.78,80314,3627030215.0,3.55,1.41,3.21,0.38
2023-02-10,300750,230.17,226.25,231.66,225.73,83978,3773477538.0,2.58,-1.7,-3.91,0.4
2023-02-13,300750,229.04,234.06,234.93,226.84,134185,6143224997.0,3.58,3.45,7.81,0.64
2023-02-14,300750,239.06,229.08,239.22,226.16,128122,5816558282.0,5.58,-2.13,-4.98,0.61
2023-02-15,300750,230.22,227.72,232.39,227.39,77734,3508461573.0,2.18,-0.59,-1.36,0.37
2023-02-16,300750,229.61,224.72,231.0,221.83,100911,4514542232.0,4.03,-1.32,-3.0,0.48
2023-02-17,300750,224.06,211.94,224.06,211.83,214696,9171648847.0,5.44,-5.69,-12.78,1.03
2023-02-20,300750,209.61,212.09,212.88,204.24,168299,6992852566.0,4.08,0.07,0.15,0.8
2023-02-21,300750,210.43,209.06,213.22,207.39,131846,5490561030.0,2.75,-1.43,-3.03,0.63
2023-02-22,300750,205.72,205.98,208.56,204.43,123639,5069312343.0,1.98,-1.47,-3.08,0.59
2023-02-23,300750,206.28,208.07,209.13,204.83,95373,3922375682.0,2.09,1.01,2.09,0.46
2023-02-24,300750,206.83,203.72,207.28,202.96,99894,4060495069.0,2.08,-2.09,-4.35,0.48
2023-02-27,300750,202.24,201.33,203.77,200.78,92206,3705001333.0,1.47,-1.17,-2.39,0.44
2023-02-28,300750,202.94,202.89,205.33,201.56,93231,3769996772.0,1.87,0.77,1.56,0.45
2023-03-01,300750,202.44,207.27,208.6,202.41,126020,5166296897.0,3.05,2.16,4.38,0.6
2023-03-02,300750,206.0,201.17,206.83,198.61,161453,6483446930.0,3.97,-2.94,-6.1,0.77
2023-03-03,300750,202.0,202.01,203.89,200.72,82031,3300669920.0,1.58,0.42,0.84,0.39
2023-03-06,300750,201.93,205.4,205.65,196.28,166267,6674565924.0,4.64,1.68,3.39,0.79
2023-03-07,300750,202.94,201.94,205.72,201.74,99184,4014218858.0,1.94,-1.68,-3.46,0.47
2023-03-08,300750,200.73,199.46,202.35,198.01,81294,3231604462.0,2.15,-1.23,-2.48,0.39
2023-03-09,300750,198.61,199.06,201.43,194.19,81367,3228769655.0,3.63,-0.2,-0.4,0.39
2023-03-10,300750,201.66,203.94,206.24,198.44,191426,7722447890.0,3.92,2.45,4.88,0.89
2023-03-13,300750,202.41,196.28,204.42,195.17,188332,7424578060.0,4.54,-3.76,-7.66,0.87
2023-03-14,300750,195.66,193.63,195.72,188.5,184847,7095007800.0,3.68,-1.35,-2.65,0.86
2023-03-15,300750,196.83,194.06,198.36,191.62,129683,5046344791.0,3.48,0.22,0.43,0.6
2023-03-16,300750,191.83,192.45,195.12,191.56,101132,3897781767.0,1.83,-0.83,-1.61,0.47
2023-03-17,300750,194.61,187.38,195.16,187.11,201447,7641555518.0,4.18,-2.63,-5.07,0.93
2023-03-20,300750,186.58,189.58,192.17,182.94,158370,6002000932.0,4.93,1.17,2.2,0.73
2023-03-21,300750,190.83,197.27,197.49,188.89,172924,6720740862.0,4.54,4.06,7.69,0.8
2023-03-22,300750,200.02,200.28,205.53,199.07,176872,7125770900.0,3.27,1.53,3.01,0.82
2023-03-23,300750,199.61,199.82,201.79,197.63,100289,3981184717.0,2.08,-0.23,-0.46,0.46
2023-03-24,300750,199.83,197.16,201.98,195.17,117653,4645723682.0,3.41,-1.33,-2.66,0.55
2023-03-27,300750,195.78,198.78,199.94,192.07,161157,6311744702.0,3.99,0.82,1.62,0.75
2023-03-28,300750,197.39,196.61,198.6,195.28,75906,2976678086.0,1.67,-1.09,-2.17,0.35
2023-03-29,300750,198.06,200.82,203.1,196.85,137546,5508159641.0,3.18,2.14,4.21,0.64
2023-03-30,300750,201.27,200.78,201.83,199.25,86819,3465633464.0,1.28,-0.02,-0.04,0.4
2023-03-31,300750,203.22,204.08,209.04,203.22,196076,8033742420.0,2.9,1.64,3.3,0.91
2023-04-03,300750,204.12,200.01,204.5,198.5,167632,6698371580.0,2.94,-1.99,-4.07,0.78
2023-04-04,300750,200.72,194.06,200.72,190.62,200897,7782699958.0,5.05,-2.97,-5.95,0.93
2023-04-06,300750,191.83,194.07,194.92,189.69,105816,4064823971.0,2.7,0.01,0.01,0.49
2023-04-07,300750,193.03,195.45,197.39,192.03,100581,3923098225.0,2.76,0.71,1.38,0.47
2023-04-10,300750,197.33,201.84,201.89,194.06,172379,6844475287.0,4.01,3.27,6.39,0.8
2023-04-11,300750,200.73,200.69,206.21,199.61,143663,5785418237.0,3.27,-0.57,-1.15,0.67
2023-04-12,300750,200.72,196.28,200.72,196.28,87367,3443470020.0,2.21,-2.2,-4.41,0.41
2023-04-13,300750,195.17,194.2,195.92,192.39,100464,3896072549.0,1.8,-1.06,-2.08,0.47
2023-04-14,300750,194.0,199.22,202.04,193.78,159237,6337229777.0,4.25,2.58,5.02,0.74
2023-04-17,300750,198.68,205.1,206.28,198.39,176632,7173869978.0,3.96,2.95,5.88,0.82
2023-04-18,300750,205.11,205.72,210.72,204.77,140605,5793046443.0,2.9,0.3,0.62,0.65
